t	v
264.79	-70
264.902	70
264.978	-70
265.04	70
265.113	-70
265.443	13
265.547	-13
266.445	16384
266.446	1006
266.446	8888
269.229	70
269.355	-70
270.033	74
270.152	-74
270.363	74
270.456	-74
270.668	74
270.778	-74
271.016	70
271.13100000000003	-70
271.387	74
271.487	-74
271.663	74
271.758	-74
271.925	74
272.00600000000003	-74
272.246	70
272.366	-70
272.616	74
272.71500000000003	-74
272.877	74
272.981	-74
273.187	74
273.277	-74
273.499	70
273.632	-70
273.819	74
273.903	-74
274.065	74
274.158	-74
274.30400000000003	74
274.387	-74
274.533	70
274.669	-70
274.778	74
274.895	-74
275.051	74
275.122	-74
275.21500000000003	74
275.299	-74
275.466	70
275.559	-70
275.70300000000003	74
275.802	-74
275.922	74
275.979	-74
276.05400000000003	74
276.14300000000003	-74
276.26800000000003	70
276.362	-70
276.468	74
276.572	-74
276.659	74
276.85200000000003	-74
276.986	70
277.07	-70
277.705	74
277.822	-74
277.926	74
277.996	-74
278.06	74
278.13800000000003	-74
278.357	70
278.419	-70
278.575	74
278.673	-74
278.77	74
278.83	-74
278.903	74
278.992	-74
279.166	70
279.236	-70
279.36400000000003	74
279.45	-74
279.549	74
279.62	-74
279.684	74
279.77	-74
279.913	70
279.963	-70
280.082	74
280.169	-74
280.25	74
280.33	-74
280.398	74
280.476	-74
280.612	70
280.726	-70
280.789	74
280.89300000000003	-74
280.982	74
281.047	-74
281.128	74
281.196	-74
281.449	70
281.55	-70
281.633	74
281.732	-74
281.82	74
281.896	-74
282.123	70
282.18	-70
282.915	74
283.00100000000003	-74
283.086	74
283.164	-74
283.23900000000003	74
283.3	-74
283.55	70
283.629	-70
283.79200000000003	74
283.865	-74
283.96	74
284.02500000000003	-74
284.074	74
284.146	-74
284.379	70
284.478	-70
284.666	74
284.75100000000003	-74
284.843	74
284.903	-74
284.978	74
285.046	-74
285.272	70
285.366	-70
285.53000000000003	74
285.622	-74
285.697	74
285.765	-74
285.822	74
285.895	-74
286.03000000000003	70
286.116	-70
286.254	74
286.325	-74
286.416	74
286.484	-74
286.55400000000003	74
286.63	-74
286.762	70
286.833	-70
286.95	74
287.05400000000003	-74
287.158	74
287.221	-74
287.301	74
287.36400000000003	-74
287.416	70
287.50100000000003	-70
287.617	74
287.708	-74
287.781	74
287.86400000000003	-74
287.93	74
288.008	-74
288.085	74
288.161	-74
288.857	13
288.97700000000003	-13
289.871	-8888
289.872	6000
302.082	1
302.083	8888
302.208	-1
310.166	68
310.26	-68
310.469	72
310.53700000000003	-72
310.644	74
310.724	-74
311.13100000000003	76
311.189	-76
311.469	84
311.55	-84
311.665	32
311.722	-32
312.366	8
312.865	8
312.896	8
312.928	8
312.959	8
312.992	8
313.024	8
313.055	8
313.089	8
313.121	8
313.152	8
313.186	8
313.218	8
313.249	8
313.282	8
313.313	8
313.345	8
313.378	8
313.409	8
313.44100000000003	8
313.47	-8
313.586	16
313.722	18
313.785	-16
313.869	-18
314.514	68
314.608	-68
314.692	67
314.806	-67
314.957	84
315.053	-84
315.122	32
315.2	-32
315.762	89
315.82800000000003	-89
315.97	74
316.035	-74
316.153	72
316.21	-72
316.348	66
316.421	-66
317.011	8
317.04900000000004	-8
317.315	86
317.383	-86
317.545	70
317.63	-70
317.732	75
317.79	-75
317.899	77
317.963	-77
318.13	89
318.2	-89
318.31600000000003	74
318.391	-74
320.00100000000003	1
320.00100000000003	-8888
320.002	8888
320.134	-1
320.135	-6000
320.142	-8888
